,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,0,AU,1513837529,70,-33.65,115.33,79.62,7.2
1,Rikitea,64,PF,1513837218,100,-23.12,-134.97,77.46,7.99
2,Port Alfred,0,ZA,1513837274,83,-33.59,26.89,72.06,11.23
3,Cidreira,32,BR,1513837606,98,-30.18,-50.21,70.76,8.66
4,Zharkent,0,KZ,1513837746,61,44.16,80.0,15.86,1.61
5,Talaya,56,RU,1513837747,59,61.38,152.75,-22.58,1.83
6,Kloulklubed,90,PW,1513835460,94,7.04,134.26,80.6,5.82
7,Vardo,0,NO,1513835400,79,70.37,31.11,32.0,19.46
8,Bluff,12,NZ,1513837500,98,-46.6,168.33,59.01,16.04
9,Noyabrsk,88,RU,1513837748,86,63.2,75.45,13.92,13.69
10,Dire Dawa,0,ET,1513837749,57,9.59,41.87,59.6,2.17
11,Bathsheba,20,BB,1513836000,78,13.22,-59.52,78.8,14.99
12,Wakefield,40,GB,1513835400,87,53.68,-1.5,48.2,4.7
13,Cervo,0,ES,1513837750,100,43.67,-7.41,53.52,13.69
14,Hobart,0,AU,1513836000,37,-42.88,147.33,69.8,20.8
15,Gizo,24,SB,1513837751,100,-8.1,156.84,83.18,12.91
16,Georgetown,75,GY,1513836000,100,6.8,-58.16,73.4,5.97
17,Nakambala,64,ZM,1513837752,82,-15.83,27.78,72.06,9.66
18,Iqaluit,90,CA,1513836000,84,63.75,-68.51,-0.41,4.41
19,Puerto Ayora,0,EC,1513837535,100,-0.74,-90.35,70.31,8.43
20,Ushuaia,40,AR,1513832400,52,-54.8,-68.3,44.6,5.82
21,Bardiyah,36,LY,1513837753,97,31.76,25.09,65.76,20.07
22,Yellowknife,90,CA,1513836000,84,62.46,-114.35,1.4,6.93
23,Hermanus,80,ZA,1513837234,81,-34.42,19.23,61.98,4.41
24,Juneau,90,US,1513835760,100,58.3,-134.42,33.8,2.39
25,Jamestown,90,US,1513835760,79,42.1,-79.24,28.4,2.28
26,Zyryanka,68,RU,1513837754,74,65.75,150.85,-17.04,5.86
27,Progreso,75,MX,1513835220,88,21.28,-89.67,75.2,12.75
28,Pandan,100,PH,1513837755,100,14.05,124.17,79.08,24.54
29,Castro,92,BR,1513837572,99,-24.79,-50.01,61.4,3.18
30,Albany,90,US,1513835640,54,42.65,-73.76,30.2,10.29
31,Arraial do Cabo,76,BR,1513837564,90,-22.97,-42.03,74.9,19.62
32,Kodiak,1,US,1513835580,85,57.79,-152.41,23.0,4.7
33,Avarua,90,CK,1513836000,94,-21.21,-159.78,80.6,10.29
34,Butaritari,0,KI,1513837544,95,3.07,172.79,84.66,20.29
35,Kapaa,75,US,1513835760,82,22.08,-159.32,68.0,10.29
36,Tazovskiy,76,RU,1513837511,86,67.47,78.7,13.74,11.79
37,Leningradskiy,68,RU,1513837615,100,69.38,178.42,8.61,16.71
38,Bredasdorp,75,ZA,1513836000,73,-34.53,20.04,69.8,11.41
39,Kimbe,80,PG,1513837758,100,-5.55,150.14,81.78,5.97
40,Cherskiy,48,RU,1513837376,66,68.75,161.3,-14.88,7.2
41,Puerto Escondido,75,MX,1513834800,78,15.85,-97.07,80.6,3.36
42,Upernavik,64,GL,1513837517,100,72.79,-56.15,17.79,10.78
43,Catuday,32,PH,1513837759,82,16.29,119.81,86.64,4.41
44,Road Town,20,VG,1513835580,78,18.42,-64.62,78.8,13.87
45,Saint-Andre-Avellin,5,CA,1513836000,71,45.72,-75.07,6.8,6.93
46,Plettenberg Bay,8,ZA,1513837621,97,-34.05,23.37,62.61,1.28
47,Rabo de Peixe,20,PT,1513836000,59,37.8,-25.58,62.6,10.29
48,Saquarema,0,BR,1513836000,88,-22.92,-42.51,75.2,1.12
49,Vila Franca do Campo,20,PT,1513836000,59,37.72,-25.43,62.6,10.29
50,Rawson,48,AR,1513837659,72,-43.3,-65.1,59.28,16.71
51,San Antonio,1,US,1513835760,93,29.42,-98.49,57.2,3.36
52,Punta Arenas,20,CL,1513836000,75,-53.15,-70.92,41.0,14.99
53,Qaanaaq,0,GL,1513837502,96,77.48,-69.36,-12.5,7.99
54,Lebu,0,CL,1513837262,99,-37.62,-73.65,54.11,15.93
55,Tevriz,76,RU,1513837763,87,57.51,72.4,8.79,4.74
56,Bethel,1,US,1513835760,63,41.37,-73.41,33.8,4.85
57,Pevek,76,RU,1513837625,93,69.7,170.31,-2.01,17.49
58,Bara,12,NG,1513837764,54,10.37,10.73,64.68,4.07
59,Narsaq,0,GL,1513835400,40,60.92,-46.05,15.8,4.97
60,Vaini,40,TO,1513836000,69,-21.2,-175.2,77.0,13.47
61,Tual,56,ID,1513837765,100,-5.67,132.75,82.05,12.46
62,Broome,20,AU,1513836000,66,-17.97,122.23,91.4,13.87
63,Dabou,75,CI,1513836000,94,5.33,-4.38,78.8,2.24
64,Khatanga,24,RU,1513837539,64,71.97,102.5,-21.99,8.21
65,Hilo,90,US,1513835760,100,19.73,-155.09,68.0,5.82
66,Cape Town,0,ZA,1513836000,68,-33.93,18.42,68.0,6.93
67,Severo-Kurilsk,48,RU,1513837483,100,50.68,156.12,24.54,13.35
68,Staraya Poltavka,92,RU,1513837767,99,50.48,46.48,17.88,6.42
69,Portales,1,US,1513835760,39,34.19,-103.33,46.4,13.87
70,Chokurdakh,80,RU,1513837675,71,70.63,147.92,1.05,16.6
71,Phuket,0,TH,1513834200,54,7.89,98.4,84.2,14.99
72,Port Macquarie,90,AU,1513836000,88,-31.43,152.92,69.8,6.93
73,Uray,20,RU,1513837769,80,60.12,64.78,8.88,7.99
74,Atuona,24,PF,1513837514,100,-9.8,-139.03,79.89,13.47
75,Hirado,40,JP,1513832400,100,33.36,129.55,50.0,5.82
76,Zaragoza,0,ES,1513836000,86,41.66,-0.88,41.0,9.17
77,Bambous Virieux,20,MU,1513836000,51,-20.34,57.76,86.0,9.17
78,Yar-Sale,80,RU,1513837770,93,66.83,70.83,16.17,16.49
79,Agadir,0,MA,1513836000,93,30.42,-9.6,44.6,4.7
80,Thompson,75,CA,1513836000,68,55.74,-97.86,-14.81,3.36
81,Faanui,68,PF,1513837551,100,-16.48,-151.75,82.23,9.89
82,Berlevag,0,NO,1513835400,59,70.86,29.09,35.6,27.51
83,Pimentel,0,PE,1513836000,88,-6.84,-79.93,68.0,8.05
84,Mar del Plata,75,AR,1513832400,93,-38.0,-57.56,66.2,10.29
85,Szeged,90,HU,1513835100,92,46.25,20.15,21.2,2.24
86,Ormara,0,PK,1513837774,75,25.21,64.64,73.5,11.34
87,Flin Flon,0,CA,1513837774,71,54.77,-101.86,-10.88,2.62
88,Saskylakh,36,RU,1513837613,50,71.92,114.08,-30.45,2.95
89,Riyadh,0,SA,1513836000,48,24.69,46.72,59.0,3.4
90,Saldanha,75,ZA,1513836000,82,-33.01,17.94,57.2,11.41
91,Harer,0,ET,1513837776,57,9.31,42.13,59.6,2.17
92,Chara,48,RU,1513837776,55,56.91,118.26,-0.21,2.17
93,Lasa,0,IT,1513835700,73,46.62,10.7,23.0,8.05
94,Kapoeta,0,SS,1513837777,28,4.77,33.59,82.32,15.03
95,Port Elizabeth,0,ZA,1513836000,82,-33.92,25.57,68.0,9.17
96,Labuan,76,ID,1513837778,100,-6.38,105.83,79.62,5.41
97,Manyana,92,BW,1513837779,98,-23.4,21.72,65.63,11.23
98,Grand-Lahou,92,CI,1513837779,100,5.14,-5.02,72.6,3.96
99,Okha,44,RU,1513837780,84,53.57,142.95,-2.37,8.32
100,Kot Addu,0,PK,1513835700,56,30.47,70.97,68.0,4.41
101,Geraldton,0,AU,1513834200,20,-28.77,114.6,98.6,16.11
102,Barberton,64,ZA,1513836000,93,-25.79,31.05,64.4,3.36
103,Fort Nelson,75,CA,1513836420,77,58.81,-122.7,1.4,2.24
104,Caravelas,92,BR,1513837566,100,-17.71,-39.25,77.64,10.67
105,Fort Walton Beach,1,US,1513836840,93,30.41,-86.62,64.4,3.36
106,Coahuayana,12,MX,1513837610,100,18.73,-103.68,78.63,5.53
107,Dordrecht,90,NL,1513837200,100,51.81,4.67,46.4,4.7
108,Cruzeiro do Sul,0,BR,1513837783,94,-29.51,-51.99,64.68,2.17
109,Langenburg,90,DE,1513837200,93,49.25,9.85,37.4,8.05
110,Ancud,92,CL,1513837333,77,-41.87,-73.82,53.21,6.98
111,Mount Gambier,8,AU,1513837667,56,-37.83,140.77,71.97,7.43
112,General Cepeda,5,MX,1513834800,58,25.38,-101.45,57.2,2.39
113,San Patricio,8,MX,1513837282,93,19.22,-104.7,69.36,3.29
114,Melfort,1,CA,1513836000,83,52.87,-104.62,-13.01,8.05
115,Mahroni,24,IN,1513837786,74,24.59,78.73,67.61,4.63
116,Constitucion,0,CL,1513837575,96,-35.33,-72.42,54.51,13.13
117,Oussouye,80,SN,1513837642,85,12.48,-16.55,73.77,17.27
118,Eirunepe,36,BR,1513837649,95,-6.66,-69.87,72.2,2.17
119,Komsomolskiy,88,UZ,1513834200,74,40.43,71.72,41.0,2.24
120,Dikson,36,RU,1513837296,99,73.51,80.55,-3.0,25.66
121,Hopelchen,5,MX,1513835160,94,19.77,-89.85,73.4,11.41
122,Santiago del Estero,8,AR,1513837789,87,-27.8,-64.26,77.78,5.41
123,Aasiaat,68,GL,1513837789,100,68.71,-52.87,22.38,13.02
124,Villanueva,75,HN,1513836000,100,15.32,-88.0,75.2,3.36
125,Hirara,75,JP,1513832400,49,24.8,125.28,68.0,13.87
126,Neepawa,5,CA,1513836000,76,50.23,-99.47,-9.41,6.93
127,Cabo San Lucas,75,MX,1513835280,72,22.89,-109.91,68.0,4.7
128,Mackenzie,75,CA,1513836000,92,55.3,-123.17,8.6,8.05
129,North Bend,90,US,1513835760,100,43.41,-124.22,37.4,10.29
130,Vanavara,68,RU,1513837792,70,60.34,102.28,10.68,7.99
131,Partizansk,0,RU,1513837793,62,43.13,133.13,23.55,4.85
132,Luderitz,64,NA,1513832400,93,-26.65,15.16,60.8,9.17
133,Goderich,76,CA,1513837794,86,43.75,-81.72,25.31,8.1
134,Klyuchi,48,RU,1513837794,73,52.27,79.17,-6.24,10.11
135,Greenfield,90,US,1513835700,74,42.96,-88.01,30.2,5.19
136,Mount Isa,75,AU,1513836000,69,-20.73,139.5,80.6,16.11
137,Kizema,80,RU,1513837795,88,61.11,44.83,20.0,15.7
138,Langelsheim,90,DE,1513837200,100,51.93,10.33,44.6,6.93
139,Barrow,90,US,1513835940,92,71.29,-156.79,26.6,17.22
140,Joshimath,48,IN,1513837796,95,30.57,79.57,18.33,1.28
141,Umm Lajj,0,SA,1513837797,90,25.02,37.27,67.92,9.78
142,Havre-Saint-Pierre,90,CA,1513836000,73,50.23,-63.6,21.2,14.99
143,Lerwick,20,GB,1513835400,97,60.15,-1.15,44.6,13.87
144,Barcelos,0,PT,1513836000,53,41.54,-8.62,51.8,12.75
145,Hailar,0,CN,1513837799,83,49.2,119.7,9.78,6.98
146,Codrington,8,AU,1513837800,78,-38.27,141.97,67.29,14.47
147,Taylor,75,US,1513837080,79,42.24,-83.27,28.4,4.7
148,Meulaboh,0,ID,1513837801,100,4.14,96.13,83.13,3.51
149,Karratha,0,AU,1513837525,16,-20.74,116.85,106.85,7.09
150,Nuuk,88,GL,1513835400,49,64.18,-51.72,24.8,19.46
151,Ha Tinh,76,VN,1513837803,100,18.33,105.9,65.76,19.39
152,Chuy,80,UY,1513837488,96,-33.7,-53.46,69.18,13.69
153,Wittingen,90,DE,1513837200,93,52.73,10.74,44.6,9.17
154,Torbay,90,CA,1513836000,92,47.67,-52.73,28.4,26.4
155,Oktyabrskoye,48,RU,1513837655,100,43.06,44.74,34.17,3.74
156,Vostok,76,RU,1513837806,80,46.49,135.88,12.75,5.75
157,Dragoman,90,BG,1513836000,73,42.92,22.93,24.8,4.7
158,Port Hardy,5,CA,1513836000,92,50.7,-127.42,32.0,8.05
159,Estelle,90,US,1513836900,100,29.85,-90.11,60.8,5.3
160,Tiznit,0,MA,1513837808,82,29.58,-9.5,27.87,2.06
161,Norman Wells,90,CA,1513836000,74,65.28,-126.83,28.4,13.87
162,Nantucket,1,US,1513836900,55,41.28,-70.1,33.8,19.46
163,Tamandare,100,BR,1513837809,89,-8.76,-35.1,76.11,4.85
164,Rocha,88,UY,1513837810,91,-34.48,-54.33,67.11,8.99
165,East London,0,ZA,1513836000,69,-33.02,27.91,73.4,11.41
166,Hithadhoo,20,MV,1513837514,100,-0.6,73.08,82.68,3.74
167,Harper,76,LR,1513837577,100,4.38,-7.72,78.09,8.43
168,Provideniya,12,RU,1513837575,100,64.38,-173.3,29.45,17.38
169,Sitka,20,US,1513836420,100,57.05,-135.33,35.6,14.92
170,Dobson,75,US,1513836600,57,36.4,-80.72,50.0,2.17
171,Filadelfia,88,PY,1513837812,72,-22.35,-60.03,81.65,9.89
172,Mahebourg,20,MU,1513836000,51,-20.41,57.7,86.0,9.17
173,Indianola,90,US,1513836900,51,41.36,-93.56,39.2,9.17
174,Pitimbu,40,BR,1513836000,83,-7.47,-34.81,75.2,2.24
175,Yarim,0,YE,1513837813,57,14.3,44.38,44.3,3.62
176,Ribeira Grande,44,PT,1513837571,94,38.52,-28.7,66.35,18.84
177,Gua,0,IN,1513837814,58,22.2,85.38,74.22,3.4
178,Labuhan,92,ID,1513837531,100,-6.88,112.21,78.63,18.5
179,Praia da Vitoria,40,PT,1513836000,87,38.73,-27.07,60.8,15.93
180,Zelenogorskiy,0,RU,1513836000,55,55.03,87.0,6.8,8.95
181,Gravdal,75,NO,1513835400,86,68.12,13.5,41.0,13.87
182,Makakilo City,90,US,1513836960,94,21.35,-158.09,69.8,8.66
183,Tezu,8,IN,1513837817,52,27.92,96.17,63.96,1.83
184,Zheleznodorozhnyy,75,RU,1513836000,92,55.75,38.0,32.0,6.71
185,Saint-Philippe,0,RE,1513836000,62,-21.36,55.77,86.0,6.93
186,Hay River,90,CA,1513836000,84,60.82,-115.8,8.6,6.93
187,La Crosse,90,US,1513836900,58,43.8,-91.24,24.8,3.36
188,Guerrero Negro,0,MX,1513837538,100,27.98,-114.06,52.4,9.55
189,Naze,75,JP,1513832400,44,28.37,129.48,60.8,13.87
190,Great Yarmouth,75,GB,1513835400,100,52.61,1.73,46.4,3.36
191,Lubango,56,AO,1513837820,96,-14.92,13.49,64.41,2.28
192,Ilulissat,68,GL,1513835400,56,69.22,-51.1,15.8,20.8
193,Amga,36,RU,1513837821,67,60.9,131.96,-36.26,2.95
194,Yumbe,0,UG,1513837821,60,3.47,31.25,73.59,7.99
195,Cabras,0,IT,1513837822,92,39.93,8.53,44.43,18.39
196,Husavik,75,IS,1513832400,59,66.04,-17.34,35.6,5.82
197,Linhai,0,CN,1513837822,33,28.85,121.12,53.97,4.29
198,Udachnyy,56,RU,1513837823,76,66.42,112.4,-18.35,2.73
199,Winneba,32,GH,1513836000,94,5.35,-0.62,78.8,6.93
200,Vieste,40,IT,1513832100,80,41.88,16.18,33.8,5.82
201,Kurikka,90,FI,1513837200,100,62.58,22.42,30.2,2.24
202,Kalmar,90,SE,1513835400,93,56.66,16.36,41.0,9.17
203,Bitung,40,ID,1513834200,74,1.45,125.18,86.0,8.05
204,Hami,12,CN,1513837562,61,42.8,93.45,23.51,6.2
205,Carbonia,20,IT,1513835400,100,39.17,8.52,39.2,9.17
206,Mandalgovi,0,MN,1513837827,65,45.76,106.27,22.16,13.91
207,Kropotkin,76,RU,1513837827,100,45.44,40.58,31.29,4.97
208,Sungaipenuh,100,ID,1513837828,91,-2.08,101.38,70.76,1.28
209,La Libertad,92,EC,1513837829,100,-2.23,-80.9,73.23,11.23
210,Meadow Lake,1,US,1513836900,31,34.8,-106.54,46.4,16.11
211,Baoqing,20,CN,1513837830,77,46.33,132.21,20.31,6.98
212,Prainha,48,BR,1513837830,84,-1.8,-53.48,78.41,5.19
213,Aykhal,48,RU,1513837830,71,66.0,111.5,-17.36,2.84
214,Jerome,90,US,1513836180,79,42.72,-114.52,26.6,9.17
215,Victoria,20,CA,1513836000,86,48.43,-123.37,37.4,10.29
216,Otofuke,20,JP,1513836000,49,42.99,143.2,26.6,1.12
217,Ruteng,100,ID,1513837832,90,-8.61,120.47,77.78,4.63
218,Palmer,75,US,1513835760,50,42.16,-72.33,32.0,11.41
219,Mingshui,0,CN,1513837832,21,36.72,117.5,48.39,12.46
220,Cayenne,40,GF,1513836000,94,4.93,-52.33,77.0,2.24
221,Fallon,40,US,1513835760,67,39.47,-118.78,24.8,5.82
222,Shelburne,90,CA,1513836000,79,44.08,-80.2,24.8,2.24
223,Winslow,1,US,1513835760,39,35.02,-110.7,48.2,26.4
224,Turayf,0,SA,1513836000,37,31.67,38.66,57.2,8.05
225,Ballina,92,AU,1513837834,100,-28.87,153.57,74.76,14.58
226,Almaznyy,44,RU,1513837556,91,48.04,40.05,27.24,4.18
227,Yichun,8,CN,1513837835,72,47.7,128.9,15.36,3.51
228,Erzin,0,TR,1513835400,93,36.96,36.2,50.0,2.24
229,Santa Catarina de Tepehuanes,48,MX,1513837707,80,25.35,-105.73,39.84,2.73
230,Souillac,20,MU,1513836000,51,-20.52,57.52,86.0,9.17
231,Edd,0,ER,1513837836,47,13.93,41.69,70.62,4.63
232,La Ronge,5,CA,1513836000,75,55.1,-105.28,-13.01,4.7
233,Paragominas,92,BR,1513837837,98,-2.97,-47.48,74.18,3.18
234,Buchanan,75,LR,1513836000,94,5.88,-10.05,77.0,5.41
235,Pitelino,88,RU,1513837838,96,54.58,41.81,25.98,6.42
236,Reading,90,GB,1513837200,93,51.46,-0.97,50.0,5.82
237,Seminole,75,US,1513836900,100,27.84,-82.79,71.6,6.93
238,Kahului,75,US,1513835760,93,20.89,-156.47,66.2,4.7
239,Terenos,40,BR,1513836000,88,-20.44,-54.86,69.8,5.82
240,Lorengau,24,PG,1513837564,97,-2.02,147.27,85.43,8.21
241,Mets Masrik,92,AM,1513837841,100,40.22,45.77,30.21,3.4
242,Shuiji,0,CN,1513837841,33,27.42,118.34,55.1,2.84
243,Kavieng,8,PG,1513837570,100,-2.57,150.8,84.08,6.98
244,Aktau,0,KZ,1513836000,68,43.65,51.2,30.2,11.18
245,Tecoanapa,0,MX,1513837842,100,16.52,-98.75,65.85,0.94
246,El Campo,1,US,1513835700,93,29.2,-96.27,62.6,3.36
247,Licheng,0,CN,1513836000,14,23.3,113.83,68.0,4.47
248,Mercedes,8,AR,1513837843,90,-34.65,-59.43,65.36,3.29
249,San Jeronimo,92,PE,1513837550,94,-11.95,-75.28,40.16,1.61
250,Lagoa,44,PT,1513837599,97,39.05,-27.98,66.53,17.38
251,Kruisfontein,8,ZA,1513837315,71,-34.0,24.73,67.29,7.43
252,Tuktoyaktuk,90,CA,1513836000,85,69.45,-133.04,21.2,23.04
253,Tiksi,32,RU,1513837251,86,71.69,128.87,-40.08,3.51
254,San Cristobal,40,VE,1513832400,83,7.77,-72.22,75.2,2.24
255,Presidente Olegario,80,BR,1513837845,72,-18.42,-46.42,69.54,7.65
256,Kuching,75,MY,1513834200,70,1.55,110.33,84.2,12.75
257,Tasiilaq,0,GL,1513835400,61,65.61,-37.64,17.6,6.93
258,Aliartos,90,GR,1513835400,86,38.37,23.1,41.0,11.41
259,Marsh Harbour,0,BS,1513837847,100,26.54,-77.06,72.96,8.99
260,Along,0,IN,1513837824,38,28.17,94.77,70.17,1.72
261,Nome,90,US,1513835580,97,64.5,-165.41,32.0,26.4
262,Ambilobe,12,MG,1513837526,100,-13.2,49.05,79.44,4.18
263,Salalah,0,OM,1513835400,41,17.02,54.09,77.0,23.04
264,Cockburn Town,0,TC,1513837554,100,21.46,-71.14,78.72,16.37
265,Koslan,92,RU,1513837849,85,63.46,48.9,26.79,8.66
266,Lodja,68,CD,1513837850,91,-3.48,23.43,71.52,3.62
267,Deputatskiy,44,RU,1513837665,0,69.3,139.9,-39.41,2.73
268,Zwedru,20,LR,1513837850,95,6.07,-8.13,69.18,3.62
269,Teguldet,76,RU,1513837851,66,57.31,88.17,2.94,4.63
