,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
270,Wewak,36,PG,1513837851,80,-3.55,143.63,83.58,3.18
271,Esperance,8,AU,1513837580,33,-33.87,121.9,90.11,3.4
272,New Norfolk,0,AU,1513836000,37,-42.78,147.06,69.8,20.8
273,Isangel,92,VU,1513837506,100,-19.55,169.27,78.45,21.18
274,Pangnirtung,64,CA,1513837649,72,66.15,-65.71,-2.51,3.18
275,Ialibu,68,PG,1513837853,85,-6.28,143.99,63.69,1.05
276,Springdale,90,US,1513836660,100,36.19,-94.13,53.6,4.7
277,Necochea,12,AR,1513837556,60,-38.55,-58.74,74.67,16.49
278,Ilhabela,88,BR,1513837854,100,-23.78,-45.36,74.76,0.6
279,Palma del Rio,0,ES,1513836000,93,37.7,-5.28,41.0,5.82
280,Newport,90,GB,1513835400,100,51.59,-3.0,50.0,14.99
281,Praya,75,ID,1513834200,78,-8.71,116.27,82.4,3.36
282,Ayan,0,RU,1513837855,100,56.45,138.17,-2.73,6.08
283,Westport,1,US,1513835760,54,41.14,-73.36,35.6,8.05
284,Matane,90,CA,1513836000,66,48.83,-67.52,14.0,23.04
285,Sola,92,VU,1513837857,100,-13.88,167.55,77.6,16.6
286,Floro,20,NO,1513835400,70,61.6,5.03,42.8,11.41
287,La Baule-Escoublac,90,FR,1513836000,93,47.29,-2.36,48.2,6.93
288,Kabinda,48,CD,1513837858,100,-6.13,24.48,69.95,5.19
289,Roblin,0,CA,1513837859,44,51.23,-101.36,-15.42,5.3
290,Alofi,92,NU,1513832400,88,-19.06,-169.92,77.0,8.05
291,Pisz,92,PL,1513837859,93,53.63,21.81,22.16,11.79
292,Clyde River,1,CA,1513836000,74,70.47,-68.59,-27.41,2.73
293,Chumikan,0,RU,1513837860,65,54.72,135.31,3.03,16.26
294,Santa Cruz do Capibaribe,88,BR,1513837861,97,-7.96,-36.2,69.95,4.74
295,Chapais,90,CA,1513836000,76,49.78,-74.85,-4.01,9.17
296,Ganzhou,0,CN,1513837862,41,28.82,115.43,56.04,3.51
297,Valparaiso,0,CL,1513836000,93,-33.04,-71.63,51.8,4.7
298,Novaya Zaimka,56,RU,1513837863,90,56.49,66.92,12.98,8.77
299,Carnarvon,0,AU,1513837615,58,-24.87,113.63,86.51,13.69
300,Hovd,36,MN,1513837863,56,48.01,91.64,2.81,1.83
301,Chany,56,RU,1513837864,82,55.31,76.76,1.23,8.99
302,Mezen,92,RU,1513837864,93,65.85,44.24,32.01,5.75
303,Sept-Iles,20,CA,1513836000,61,50.2,-66.38,14.0,12.75
304,Pisco,0,PE,1513836000,88,-13.7,-76.22,66.2,3.36
305,Sao Filipe,92,CV,1513837504,96,14.9,-24.5,74.49,15.59
306,Dandong,0,CN,1513837865,54,40.13,124.39,37.59,5.75
307,Huarmey,64,PE,1513837866,93,-10.07,-78.15,61.44,2.84
308,Kwinana,0,AU,1513836000,15,-32.25,115.77,98.6,12.75
309,Seydisehir,0,TR,1513837867,78,37.42,31.85,30.48,2.06
310,Mayo,1,US,1513837020,55,38.89,-76.51,39.2,8.05
311,Strezhevoy,90,RU,1513836000,92,60.73,77.59,17.6,6.71
312,Smoky Lake,32,CA,1513837868,78,54.12,-112.47,9.69,12.01
313,Asau,0,RO,1513836000,92,46.43,26.4,24.8,2.24
314,Bilibino,68,RU,1513837640,77,68.05,166.44,-18.98,2.62
315,Mokhsogollokh,44,RU,1513837869,50,61.47,128.92,-30.68,3.62
316,Salinopolis,56,BR,1513837336,100,-0.61,-47.36,78.9,11.45
317,Arman,0,RU,1513836000,73,59.7,150.17,-36.41,2.24
318,Camopi,68,GF,1513837870,97,3.17,-52.32,72.51,2.17
319,Bud,40,US,1513836900,81,39.45,-86.18,33.8,8.05
320,Lamu,0,KE,1513837871,87,-2.27,40.9,81.96,9.66
321,Waipawa,20,NZ,1513836000,68,-41.41,175.52,66.2,24.16
322,Vanimo,44,PG,1513837871,100,-2.67,141.3,80.7,1.16
323,Hualmay,12,PE,1513837872,96,-11.1,-77.61,60.5,2.73
324,Nambucca Heads,90,AU,1513836000,88,-30.65,153.0,71.6,18.34
325,Great Bend,75,US,1513837080,93,38.36,-98.76,44.6,16.11
326,Tsagan Aman,92,RU,1513837873,97,47.56,46.72,26.25,8.32
327,Katsuura,20,JP,1513834200,46,35.13,140.3,50.0,11.41
328,Aden,0,YE,1513837874,93,12.78,45.04,78.81,19.95
329,Longyearbyen,40,SJ,1513835400,74,78.22,15.64,33.8,11.41
330,Nanortalik,8,GL,1513837584,100,60.14,-45.24,27.96,17.05
331,Nhulunbuy,8,AU,1513836000,46,-12.23,136.77,93.2,10.29
332,Clarence Town,90,AU,1513836000,94,-32.58,151.78,69.8,11.41
333,Manzhouli,0,CN,1513837876,58,49.6,117.43,19.59,5.64
334,Byron Bay,92,AU,1513836000,69,-28.65,153.62,80.6,8.05
335,Klaksvik,80,FO,1513835400,80,62.23,-6.59,41.0,16.11
336,Stromness,40,GB,1513837200,87,58.97,-3.3,42.8,5.82
337,Laguna,1,US,1513835880,81,38.42,-121.42,44.6,6.93
338,Hasaki,40,JP,1513834200,61,35.73,140.83,50.0,11.41
339,Yulara,0,AU,1513836000,9,-25.24,130.99,96.8,10.29
340,Beringovskiy,8,RU,1513837495,100,63.05,179.32,0.06,5.08
341,Ostrovnoy,0,RU,1513837663,87,68.05,39.51,20.81,10.22
342,Ouadda,0,CF,1513837878,65,8.08,22.4,70.85,11.12
343,Kutum,8,SD,1513837657,57,14.2,24.67,56.4,5.08
344,Salvador,75,BR,1513836000,78,-12.97,-38.51,75.2,2.24
345,Chebsara,68,RU,1513837880,90,59.2,38.84,22.56,11.01
346,Varberg,20,SE,1513835400,93,57.11,12.25,39.2,6.93
347,Riohacha,36,CO,1513837881,92,11.54,-72.91,78.54,18.28
348,Iglesias,20,IT,1513835400,100,39.31,8.54,39.2,9.17
349,Gusinoye Ozero,0,RU,1513837882,45,51.11,106.26,21.84,3.96
350,Tuy Hoa,100,VN,1513837882,100,13.08,109.3,71.34,22.86
351,Nemuro,20,JP,1513832400,50,43.32,145.57,28.4,3.36
352,Yatou,0,CN,1513837668,55,37.15,122.38,43.62,7.65
353,Mao,40,ES,1513834200,65,39.89,4.27,46.4,13.87
354,Taoudenni,0,ML,1513837883,57,22.68,-3.98,42.45,12.91
355,Jaru,24,BR,1513837884,97,-10.44,-62.47,71.03,2.28
356,Kisangani,0,CD,1513837884,96,0.52,25.2,73.95,4.07
357,Dumka,44,IN,1513837885,86,24.27,87.25,69.86,4.63
358,Leshukonskoye,92,RU,1513837885,88,64.9,45.76,30.39,8.21
359,Paka,75,MY,1513832400,65,4.64,103.44,82.4,10.29
360,Ladozhskaya,75,RU,1513836000,100,45.31,39.94,33.8,2.24
361,Adrar,0,DZ,1513836000,69,27.87,-0.29,35.6,6.93
362,Oistins,20,BB,1513836000,78,13.07,-59.53,78.8,14.99
363,Namatanai,12,PG,1513837610,97,-3.67,152.43,84.8,13.24
364,Lata,0,PT,1513836000,93,40.16,-8.33,35.6,2.24
365,Buguruslan,68,RU,1513837888,80,53.66,52.44,2.0,3.18
366,Chiredzi,75,ZW,1513836000,74,-21.05,31.67,78.8,8.05
367,Ponta do Sol,40,PT,1513836000,63,32.67,-17.1,62.6,6.93
368,Khash,0,IR,1513837889,33,28.22,61.22,54.06,4.18
369,Fortuna,90,US,1513835700,100,40.6,-124.16,39.2,6.93
370,Hambantota,56,LK,1513837889,96,6.12,81.12,82.5,14.7
371,Kayunga,0,UG,1513837890,71,0.7,32.89,71.75,7.65
372,Conceicao do Araguaia,0,BR,1513837890,92,-8.26,-49.26,73.59,2.95
373,Svetlyy,90,RU,1513836000,91,54.67,20.13,32.0,11.18
374,Talcahuano,0,CL,1513836000,93,-36.72,-73.12,53.6,8.05
375,Sabang,56,ID,1513837597,100,5.89,95.32,80.79,21.18
376,Riobamba,56,EC,1513837892,97,-1.67,-78.63,46.55,2.17
377,Bengkulu,32,ID,1513837665,100,-3.8,102.27,80.75,9.78
378,Fonte Boa,88,BR,1513837893,100,-2.5,-66.27,72.96,2.39
379,Saint George,90,US,1513835760,86,37.1,-113.58,33.8,24.16
380,Semnan,0,IR,1513832400,42,35.57,53.4,44.6,2.24
381,Touros,92,BR,1513837494,100,-5.2,-35.46,75.21,8.21
382,Liverpool,90,GB,1513835400,100,53.41,-2.98,50.0,2.24
383,Grand Gaube,20,MU,1513836000,51,-20.01,57.66,86.0,9.17
384,Khuzdar,0,PK,1513837895,78,27.74,66.64,50.78,3.62
385,Sokolo,0,ML,1513837896,44,14.73,-6.12,54.51,15.14
386,Marystown,80,CA,1513837896,99,47.17,-55.15,34.58,32.59
387,Moengo,92,SR,1513837897,97,5.62,-54.4,73.1,2.73
388,Jijiga,8,ET,1513837898,75,9.35,42.8,54.6,4.18
389,Grindavik,75,IS,1513834200,74,63.84,-22.43,37.4,23.04
390,Belmonte,100,BR,1513837396,99,-15.86,-38.88,74.04,3.85
391,Florencia,36,CO,1513837632,94,1.61,-75.61,63.96,2.06
392,Camacha,40,PT,1513836000,67,33.08,-16.33,62.6,10.29
393,Didwana,12,IN,1513837899,45,27.4,74.57,71.79,4.85
394,Santa Lucia,0,ES,1513837899,100,27.91,-15.54,64.73,14.14
395,Sinop,75,TR,1513835400,93,41.77,34.87,41.0,3.36
396,San Quintin,0,MX,1513837901,100,30.48,-115.95,43.85,8.21
397,Port-Gentil,40,GA,1513836000,83,-0.72,8.78,82.4,8.05
398,Zhigansk,36,RU,1513837530,57,66.77,123.37,-32.61,1.61
399,Wajima,75,JP,1513836000,80,37.4,136.9,41.0,3.36
400,Shingu,20,JP,1513836000,43,33.73,135.98,50.0,17.22
401,Gualaceo,90,EC,1513836000,82,-2.9,-78.78,59.0,2.24
402,Atar,0,MR,1513837903,32,20.52,-13.05,52.85,14.03
403,Pahrump,90,US,1513835880,32,36.21,-115.98,44.6,18.34
404,Dingle,48,PH,1513837509,77,11.0,122.67,82.46,16.71
405,Belaya Gora,56,RU,1513837904,63,68.53,146.42,-21.72,10.67
406,Tres Lagoas,88,BR,1513837904,87,-20.75,-51.68,73.28,2.73
407,Talnakh,24,RU,1513837573,73,69.49,88.4,-17.04,3.51
408,Cap-aux-Meules,48,CA,1513837905,100,47.38,-61.86,29.63,36.39
409,Abadan,20,IR,1513836000,42,30.34,48.3,66.2,4.7
410,Lazaro Cardenas,20,MX,1513837877,100,17.96,-102.2,73.14,1.28
411,Bydgoszcz,90,PL,1513836000,95,53.12,18.01,32.0,9.17
412,Morant Bay,20,JM,1513836000,78,17.88,-76.41,78.8,4.7
413,Doha,0,QA,1513836000,72,25.29,51.53,68.0,3.36
414,Taman,0,RU,1513836000,100,45.21,36.72,32.0,6.71
415,Lakes Entrance,0,AU,1513837908,75,-37.88,147.98,70.26,6.76
416,Biltine,0,TD,1513837908,56,14.53,20.92,62.25,3.74
417,Maragogi,100,BR,1513837595,89,-9.01,-35.22,76.11,4.85
418,Te Anau,88,NZ,1513837588,100,-45.42,167.72,53.88,1.61
419,General Roca,0,AR,1513836000,77,-39.03,-67.58,62.6,6.93
420,Sioux Lookout,75,CA,1513836000,83,50.1,-91.92,-4.01,2.24
421,Shushenskoye,12,RU,1513836000,76,53.33,91.94,-7.61,2.62
422,Dzhebariki-Khaya,20,RU,1513837548,0,62.22,135.8,-50.97,2.17
423,Dubbo,40,AU,1513836000,37,-32.25,148.62,86.0,19.46
424,Fuling,0,CN,1513837911,91,29.7,107.39,51.0,3.96
425,Lincoln,90,US,1513836900,65,40.8,-96.67,42.8,9.17
426,North Platte,1,US,1513835580,82,41.12,-100.77,37.4,6.93
427,Saint-Francois,90,FR,1513836000,100,46.42,3.91,42.8,4.7
428,Port Lincoln,0,AU,1513837634,79,-34.73,135.87,69.81,6.98
429,Yeppoon,32,AU,1513836000,45,-23.13,150.73,87.8,10.29
430,Namibe,68,AO,1513837589,100,-15.2,12.15,70.62,4.41
431,Varkaus,90,FI,1513837200,97,62.33,27.87,32.0,4.7
432,Kumasi,0,GH,1513837884,97,6.69,-1.62,68.96,2.95
433,Fairbanks,40,US,1513835880,92,64.84,-147.72,17.6,4.41
434,Nabire,44,ID,1513837915,87,-3.37,135.48,78.0,0.94
435,Port Blair,32,IN,1513837641,100,11.67,92.75,80.88,19.06
436,Kashi,8,CN,1513836000,63,39.45,75.98,28.4,2.24
437,Orlik,0,RU,1513837916,59,52.52,99.83,10.14,3.74
438,Port Hedland,0,AU,1513836000,50,-20.32,118.57,95.0,17.22
439,Bubaque,56,GW,1513837669,100,11.28,-15.83,74.94,20.74
440,Xuddur,44,SO,1513837917,37,4.12,43.89,74.22,16.15
441,Eastbourne,92,GB,1513837200,100,50.77,0.28,50.0,4.7
442,Mildura,0,AU,1513837918,45,-34.2,142.15,80.93,5.53
443,Isla Mujeres,20,MX,1513835100,100,21.23,-86.73,71.6,5.75
444,Murray Bridge,0,AU,1513837582,74,-35.12,139.27,71.25,9.1
445,Kem,92,RU,1513837919,95,64.96,34.58,32.33,4.97
446,Sibolga,24,ID,1513837586,94,1.74,98.78,77.01,0.27
447,Palmares do Sul,90,BR,1513836000,94,-30.26,-50.51,71.6,2.24
448,Nouadhibou,0,MR,1513836000,83,20.93,-17.03,59.0,21.92
449,Haines Junction,0,CA,1513837921,66,60.75,-137.51,-11.19,1.95
450,Veraval,80,IN,1513837880,57,20.9,70.37,78.05,10.22
451,Taltal,36,CL,1513837660,99,-25.4,-70.48,52.44,1.72
452,Cognac,90,FR,1513836000,93,45.7,-0.33,42.8,1.12
453,Nyandoma,92,RU,1513837922,87,61.67,40.2,21.3,16.04
454,Shenzhen,0,CN,1513836000,19,22.55,114.07,68.0,11.18
455,San Vicente,48,AR,1513837923,85,-26.62,-54.13,70.76,4.52
456,Baiyin,0,CN,1513836000,19,36.56,104.21,37.4,4.47
457,Denia,92,ES,1513837923,100,38.84,0.11,55.77,18.28
458,Bogdanovich,12,RU,1513837924,68,56.78,62.05,7.71,6.64
459,Rokytne,92,UA,1513837924,96,51.28,27.21,24.05,3.18
460,Reconquista,0,AR,1513837925,92,-29.15,-59.65,73.77,8.77
461,Eldorado,80,BR,1513837925,97,-23.79,-54.28,70.31,8.43
462,Solwezi,92,ZM,1513837926,100,-12.17,26.39,63.2,9.33
463,Zholymbet,80,KZ,1513837926,85,51.74,71.71,2.45,11.12
464,Zhadovka,76,RU,1513837927,88,53.57,46.95,14.78,3.96
465,Stornoway,0,GB,1513837200,93,58.21,-6.39,39.2,2.24
466,Lixourion,90,GR,1513835400,100,38.2,20.43,48.2,11.56
467,Quthing,0,LS,1513837929,38,-30.4,27.7,68.64,2.06
468,Iquique,0,CL,1513836000,72,-20.22,-70.14,66.2,2.24
469,Dunedin,92,NZ,1513837587,100,-45.87,170.5,53.03,8.77
470,Gravelbourg,0,CA,1513837930,49,49.88,-106.55,-10.25,5.97
471,Pacific Grove,1,US,1513835700,80,36.62,-121.92,42.8,8.55
472,Benguela,75,AO,1513836000,78,-12.58,13.41,75.2,6.42
473,Shitanjing,0,CN,1513837931,19,39.23,106.34,40.83,2.17
474,Aspindza,76,GE,1513837932,92,41.57,43.25,30.39,3.06
475,Guiratinga,44,BR,1513837932,92,-16.35,-53.76,70.76,2.95
476,Saint-Augustin,92,CA,1513837818,100,51.23,-58.65,29.45,21.3
477,Kuryk,80,KZ,1513837933,100,43.2,51.65,31.29,11.68
478,Coquimbo,0,CL,1513832400,93,-29.95,-71.34,57.2,3.36
479,Hirna,0,ET,1513837934,57,9.22,41.1,56.81,3.74
480,Srandakan,76,ID,1513837934,100,-7.94,110.25,79.31,3.74
481,Villacarrillo,0,ES,1513837935,83,38.12,-3.08,25.08,2.39
482,Aguimes,0,ES,1513837935,100,27.91,-15.45,64.73,14.14
483,Ranau,75,MY,1513834200,74,5.95,116.66,84.2,4.7
484,Bandarbeyla,80,SO,1513837936,100,9.49,50.81,77.1,28.34
485,Hokitika,100,NZ,1513837937,100,-42.72,170.97,60.09,1.61
486,Jawhar,12,SO,1513837937,44,2.78,45.5,83.4,17.27
487,Pak Phanang,75,TH,1513832400,69,8.35,100.2,80.6,11.41
488,Port Maria,20,JM,1513836000,78,18.37,-76.89,78.8,4.7
489,Buala,80,SB,1513837939,96,-8.14,159.59,82.14,4.63
490,Canico,40,PT,1513836000,63,32.63,-16.85,62.6,6.93
491,Palaiokomi,75,GR,1513835400,74,40.87,23.9,35.6,6.93
492,Asosa,0,ET,1513837940,37,10.07,34.53,75.93,5.41
493,Guiglo,0,CI,1513837940,99,6.55,-7.5,68.51,2.62
494,Kiknur,88,RU,1513837941,92,57.3,47.2,21.39,6.2
495,Mizdah,64,LY,1513837579,99,31.45,12.98,47.63,4.29
496,Tautira,20,PF,1513836000,69,-17.73,-149.15,82.4,6.93
497,Irati,92,BR,1513837942,99,-25.47,-50.65,62.93,7.09
498,Coihaique,75,CL,1513836000,87,-45.58,-72.07,42.8,3.36
499,Kununurra,32,AU,1513836000,55,-15.77,128.73,91.4,10.29
500,Pamekasan,88,ID,1513837943,87,-7.16,113.47,85.02,19.28
501,Wattegama,80,LK,1513837944,79,6.8,81.48,82.59,10.67
502,Pasewalk,90,DE,1513836000,93,53.51,13.99,41.0,6.93
503,Kirakira,44,SB,1513837945,100,-10.45,161.92,81.24,8.77
504,Saint Andrews,90,US,1513838100,100,34.05,-81.13,53.6,8.66
505,Lompoc,1,US,1513835880,61,34.64,-120.46,51.8,9.17
506,Lambari,92,BR,1513837946,97,-21.98,-45.35,62.16,2.84
507,Moerai,88,PF,1513837947,100,-22.43,-151.33,77.96,6.76
508,Whitehorse,40,CA,1513836000,84,60.72,-135.05,1.4,3.36
509,Totness,76,SR,1513837948,100,5.88,-56.32,77.78,13.02
510,Anadyr,0,RU,1513836000,76,64.75,177.48,-5.81,11.18
511,Show Low,1,US,1513835700,44,34.25,-110.03,46.4,32.21
512,Tuatapere,20,NZ,1513837949,100,-46.13,167.68,56.67,13.24
513,Hinton,8,CA,1513837802,74,53.4,-117.59,4.88,2.95
514,Atbasar,36,KZ,1513837950,80,51.8,68.33,3.84,6.98
515,Ixtapa,75,MX,1513834980,100,20.7,-105.2,71.6,1.95
516,Prata,88,BR,1513837951,83,-19.31,-48.92,70.98,2.95
517,Mantua,0,CU,1513837951,96,22.29,-84.28,69.09,3.74
518,Kangavar,75,IR,1513836000,81,34.5,47.97,44.6,2.24
519,Kamenka,80,RU,1513837952,93,51.32,42.77,25.13,7.43
520,Feijo,12,BR,1513837953,97,-8.16,-70.35,73.77,5.19
521,Imelda,92,PH,1513837953,87,7.65,123.95,74.45,5.41
522,Kieta,48,PG,1513837954,96,-6.22,155.63,82.14,3.96
523,Mahibadhoo,92,MV,1513837954,100,3.78,72.97,79.8,14.36
524,Bhopal,20,IN,1513832400,43,23.27,77.4,69.8,6.93
525,Richards Bay,36,ZA,1513837955,85,-28.78,32.04,72.87,8.77
526,Bideford,75,GB,1513837200,93,51.02,-4.2,51.8,8.05
527,Bantogon,44,PH,1513837956,53,6.53,124.03,86.46,7.87
528,Ayr,40,GB,1513837200,87,55.46,-4.63,42.8,2.51
529,Marienburg,20,SR,1513836000,94,5.85,-55.02,75.2,2.24
530,Paita,88,PE,1513837957,90,-5.09,-81.11,67.56,4.63
531,Porbandar,75,IN,1513832400,26,21.64,69.61,80.6,9.17
532,Yerbogachen,76,RU,1513837958,75,61.28,108.01,12.93,6.42
533,Ribeira Brava,40,PT,1513836000,63,32.65,-17.07,62.6,6.93
534,Alpena,90,US,1513836900,68,45.06,-83.43,24.8,3.36
535,Olds,5,CA,1513836000,84,51.78,-114.1,-2.21,5.82
536,Loanda,92,BR,1513837863,98,-22.92,-53.14,71.16,8.43
537,Saint-Georges,0,CA,1513837960,64,46.62,-72.66,8.79,6.08
538,Beloha,88,MG,1513837961,83,-25.17,45.05,75.48,8.21
539,Roma,0,IT,1513835700,68,41.89,12.48,35.6,5.82
540,Batagay-Alyta,8,RU,1513837961,0,67.8,130.41,-43.1,2.73
541,Muros,0,ES,1513836000,100,42.78,-9.06,33.8,6.42
